ID,CATEGORY
0,snowman
1,bulldozer
2,snowman
3,spider
4,skyscraper
5,skyscraper
6,snowman
7,skyscraper
8,chair
9,spider
10,eyeglasses
11,eyeglasses
12,harp
13,keyboard
14,violin
15,eyeglasses
16,bulldozer
17,foot
18,spider
19,foot
20,eyeglasses
21,banana
22,keyboard
23,foot
24,banana
25,keyboard
26,pig
27,spider
28,spider
29,keyboard
30,laptop
31,hand
32,foot
33,skyscraper
34,laptop
35,foot
36,laptop
37,eyeglasses
38,harp
39,snowman
40,bulldozer
41,eyeglasses
42,bulldozer
43,nose
44,banana
45,keyboard
46,eyeglasses
47,keyboard
48,keyboard
49,nose
50,harp
51,violin
52,chair
53,spider
54,bulldozer
55,nose
56,snowman
57,eyeglasses
58,bulldozer
59,foot
60,bulldozer
61,violin
62,skyscraper
63,violin
64,eyeglasses
65,bulldozer
66,skyscraper
67,laptop
68,keyboard
69,snowman
70,bulldozer
71,banana
72,spider
73,harp
74,spider
75,harp
76,banana
77,harp
78,nose
79,eyeglasses
80,bulldozer
81,harp
82,spider
83,spider
84,eyeglasses
85,eyeglasses
86,laptop
87,eyeglasses
88,skyscraper
89,keyboard
90,eyeglasses
91,eyeglasses
92,laptop
93,skyscraper
94,skyscraper
95,harp
96,spider
97,foot
98,violin
99,snowman
100,banana
101,bulldozer
102,hand
103,harp
104,eyeglasses
105,banana
106,spider
107,bulldozer
108,chair
109,foot
110,eyeglasses
111,pig
112,eyeglasses
113,laptop
114,eyeglasses
115,spider
116,banana
117,keyboard
118,foot
119,skyscraper
120,eyeglasses
121,laptop
122,spider
123,snowman
124,harp
125,spider
126,bulldozer
127,pig
128,bulldozer
129,eyeglasses
130,harp
131,snowman
132,hand
133,spider
134,bulldozer
135,chair
136,laptop
137,hand
138,laptop
139,bulldozer
140,nose
141,banana
142,hand
143,bulldozer
144,eyeglasses
145,laptop
146,eyeglasses
147,hand
148,violin
149,spider
150,harp
151,skyscraper
152,banana
153,foot
154,snowman
155,hand
156,violin
157,eyeglasses
158,eyeglasses
159,bulldozer
160,eyeglasses
161,foot
162,banana
163,skyscraper
164,bulldozer
165,eyeglasses
166,laptop
167,keyboard
168,laptop
169,pig
170,violin
171,chair
